target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,da_cue,da_target,da_word_combo_related,da_word_combo_unrelated,da_cue_word_related,da_cue_word_unrelated
dokument,616.120416665589,611.912439994728,-0.422003984722174,-0.502656695485061,33.707428448256,21.9152032997127,0.0834577255274752,0.0609436048235841,54,52,1,0,48,50,49,50,1,0,0.979591836734694,1,55,52,0,0,42,46,50,50,0,0,0.84,0.92,48,50,-4.2079766708614,-0.0806527107628867,da,file,document,fil,dokument,fildokument,dosisdokument,fil,dosis
dollar,574.110896540792,579.645410252948,-0.544537426143292,-0.508025520863296,22.5151221399318,20.1199752733915,0.0744587141224943,0.0620255763714715,67,93,0,1,60,78,62,81,0,0,0.967741935483871,0.962962962962963,67,93,0,1,52,79,62,81,0,0,0.838709677419355,0.975308641975309,58,78,5.53451371215601,0.0365119052799963,da,pound,dollar,pund,dollar,punddollar,forfatterdollar,pund,forfatter
dommer,575.466373923784,589.23144774065,-0.556999215882699,-0.464446993718809,34.6177709024075,29.8493977038105,0.123926764253745,0.0869501116980746,51,75,0,1,46,67,46,71,0,0,1,0.943661971830986,51,75,0,1,42,65,46,71,0,0,0.91304347826087,0.915492957746479,46,67,13.7650738168667,0.0925522221638903,da,court,judge,retssal,dommer,retssaldommer,pændommer,retssal,pæn
donation,638.046346155985,710.99810201885,-0.403492965501864,-0.17971556745078,41.7996448353966,48.4035951791501,0.0909181482200978,0.128750668840957,59,55,0,0,53,49,53,49,0,0,1,1,59,55,0,0,53,48,53,49,0,0,1,0.979591836734694,52,49,72.9517558628647,0.223777398051084,da,charity,donation,velgørenhed,donation,velgørenheddonation,skyttedonation,velgørenhed,skytte
dreng,490.114161534408,552.634148951154,-0.84661358081203,-0.607682513698193,22.6438185366282,29.3022000029334,0.0751209471716378,0.0928867987908977,55,55,1,0,52,47,52,49,1,0,1,0.959183673469388,55,55,1,0,52,47,52,49,1,0,1,0.959183673469388,52,47,62.5199874167467,0.238931067113837,da,girl,boy,pige,dreng,pigedreng,kommissiondreng,pige,kommission
dræbe,559.51896364035,587.672622212711,-0.582841426491637,-0.504037260476591,24.3233616932423,22.1336475260994,0.0760691064280587,0.082185419193219,63,50,0,1,56,45,57,46,0,0,0.982456140350877,0.978260869565217,62,50,1,1,54,44,56,46,1,0,0.964285714285714,0.956521739130435,55,45,28.153658572361,0.0788041660150454,da,poison,kill,forgifte,dræbe,forgiftedræbe,usædvanligdræbe,forgifte,usædvanlig
drøm,589.378354157598,531.530378781048,-0.519112459159625,-0.680375064173796,35.2209747413874,24.6888824665003,0.111722621172778,0.0727459903856869,52,76,0,0,48,66,48,67,0,0,1,0.985074626865672,52,76,0,0,45,65,48,67,0,0,0.9375,0.970149253731343,48,66,-57.8479753765499,-0.16126260501417,da,nightmare,dream,mareridt,drøm,mareridtdrøm,normaltdrøm,mareridt,normalt
dum,601.465352934194,539.575836720536,-0.54409894521672,-0.679103748928125,45.5551698768779,24.1967469850665,0.124104674187794,0.0735104241468204,80,51,0,0,69,49,69,49,0,0,1,1,79,51,1,0,64,49,69,49,0,0,0.927536231884058,1,68,49,-61.8895162136572,-0.135004803711405,da,naive,stupid,naiv,dum,naivdum,glasdum,naiv,glas
dumhed,581.000702125304,609.250185720063,-0.582641195890813,-0.41554517724194,22.6504069013866,18.2538757402357,0.062484164906298,0.0565945990752003,53,81,0,1,47,70,47,72,0,1,1,0.972222222222222,53,81,0,1,45,67,47,72,0,1,0.957446808510638,0.930555555555556,47,70,28.2494835947584,0.167096018648873,da,madness,stupidity,galskab,dumhed,galskabdumhed,tekstdumhed,galskab,tekst
dynamit,664.583436374583,656.701000002267,-0.360763686261905,-0.265455585604786,43.9495983928169,19.6923922678562,0.0964764991845458,0.0606489120320506,58,52,3,0,55,48,56,50,1,0,0.982142857142857,0.96,61,52,0,0,56,50,57,50,0,0,0.982456140350877,1,55,48,-7.88243637231517,0.0953081006571191,da,gunpowder,dynamite,krudt,dynamit,krudtdynamit,chancedynamit,krudt,chance
dyr,517.922510207783,612.048089299913,-0.695949735043384,-0.33902418935154,26.8095611684605,34.5419214931278,0.0696610453468092,0.100729206105071,54,61,0,1,49,56,49,58,0,0,1,0.96551724137931,53,59,1,3,45,46,48,56,1,2,0.9375,0.821428571428571,49,56,94.1255790921302,0.356925545691843,da,beast,animal,bæst,dyr,bæstdyr,lykønskedyr,bæst,lykønske
dårligt,563.357949997234,585.224400007037,-0.570956470955053,-0.483669221257456,47.1965934594865,25.2874518673212,0.164459831967724,0.0916265347354673,63,72,1,0,60,60,60,62,1,0,1,0.967741935483871,62,72,2,0,59,58,59,62,2,0,1,0.935483870967742,60,60,21.8664500098031,0.0872872496975969,da,good,bad,godt,dårligt,godtdårligt,sammensværgelsedårligt,godt,sammensværgelse
dø,590.714196059118,581.692367345551,-0.540383714065783,-0.531292755194785,19.4642593736779,28.9814511205768,0.0504545745966105,0.113956455583897,118,56,3,0,102,49,106,50,0,0,0.962264150943396,0.98,118,56,3,0,29,48,106,50,0,0,0.273584905660377,0.96,102,49,-9.02182871356604,0.00909095887099753,da,suffer,die,pines,dø,pinesdø,fænomendø,pines,fænomen
død,517.510064815486,587.927389829078,-0.704924786368687,-0.483384579037747,20.1378625426396,27.9345581871353,0.0726716444507235,0.101043571362909,58,64,0,1,54,59,54,59,0,1,1,1,58,65,0,0,52,60,54,60,0,0,0.962962962962963,1,54,59,70.417325013592,0.22154020733094,da,alive,dead,levende,død,levendedød,indsættedød,levende,indsætte
dør,527.66864178698,583.102866667009,-0.762865734136126,-0.526060779251065,21.3800167631365,21.2665606538968,0.0547761861100628,0.0617266153336653,71,119,0,5,67,105,68,106,0,1,0.985294117647059,0.990566037735849,71,119,0,5,67,79,68,106,0,1,0.985294117647059,0.745283018867924,67,105,55.4342248800291,0.236804954885061,da,window,door,vindue,dør,vinduedør,evidensdør,vindue,evidens
døv,590.014106057926,660.938787234197,-0.512519878800024,-0.251803994812921,36.7877831526039,33.737010284391,0.0935118750746865,0.109374387490655,74,56,0,2,66,47,66,50,0,1,1,0.94,74,57,0,1,65,51,66,51,0,0,0.984848484848485,1,66,47,70.9246811762705,0.260715883987103,da,blind,deaf,blind,døv,blinddøv,friheddøv,blind,frihed
ed,729.278999993329,789.183969698672,-0.0165573421068156,0.218969835171383,41.0586834666882,40.2026931518547,0.140928285390422,0.159461992968788,53,55,1,0,40,33,53,52,1,0,0.754716981132076,0.634615384615385,54,55,0,0,49,52,54,52,0,0,0.907407407407407,1,40,33,59.9049697053422,0.235527177278198,da,swear,oath,sværge,ed,sværgeed,konkurrenceed,sværge,konkurrence
effekt,608.647955555671,552.214106385898,-0.453540579602685,-0.631225577338456,48.1426445737035,17.8957810097917,0.131578466173395,0.0601436179609135,54,51,0,0,45,47,47,49,0,0,0.957446808510638,0.959183673469388,54,51,0,0,45,47,47,49,0,0,0.957446808510638,0.959183673469388,45,47,-56.4338491697736,-0.177684997735772,da,influence,effect,indflydelse,effekt,indflydelseeffekt,skåleffekt,indflydelse,skål
effektiv,604.106306119047,580.453369572737,-0.476135851505192,-0.485061505674752,22.417711194816,20.1410976937905,0.0762806256146255,0.0606057235407935,54,52,0,0,49,46,49,46,0,0,1,1,54,52,0,0,49,44,49,46,0,0,1,0.956521739130435,49,46,-23.6529365463098,-0.00892565416956043,da,useful,effective,nyttig,effektiv,nyttigeffektiv,træteffektiv,nyttig,træt
efterforsker,683.889924515952,683.144545458651,-0.180504259549711,-0.1537777225895,36.1038785124725,36.2217763278015,0.0890598285747385,0.108126510159295,59,53,2,1,54,44,54,47,1,1,1,0.936170212765957,58,53,3,1,50,46,54,47,1,1,0.925925925925926,0.978723404255319,53,44,-0.745379057301079,0.0267265369602112,da,analyst,investigator,analytiker,efterforsker,analytikerefterforsker,nederdelefterforsker,analytiker,nederdel
efternavn,561.507723390665,623.242194431931,-0.587295165304418,-0.386725324059408,26.1952514390121,25.7615707463134,0.0768435259813861,0.0830691864285244,50,82,0,0,47,73,47,73,0,0,1,1,50,82,0,0,44,71,47,73,0,0,0.936170212765957,0.972602739726027,47,72,61.7344710412666,0.20056984124501,da,nickname,surname,kaldenavn,efternavn,kaldenavnefternavn,læreefternavn,kaldenavn,lære
efterår,484.249418908928,626.366431032128,-0.845716464639192,-0.453858585625484,16.0484406349723,34.0237421893672,0.0402433873006758,0.0854010583455972,85,70,0,0,74,58,75,58,0,0,0.986666666666667,1,84,70,1,0,74,58,74,58,1,0,1,1,74,58,142.117012123201,0.391857879013708,da,spring,autumn,forår,efterår,forårefterår,opmærksomhedefterår,forår,opmærksomhed
ejer,592.223230763892,632.729451914518,-0.462599885276538,-0.399358983965654,27.5098927949472,25.7681026953592,0.0995829382948943,0.0692754402369891,72,120,0,3,65,104,65,106,0,1,1,0.981132075471698,72,120,0,3,64,101,65,106,0,1,0.984615384615385,0.952830188679245,65,104,40.5062211506265,0.063240901310884,da,property,owner,ejendom,ejer,ejendomejer,dessertejer,ejendom,dessert
eksplodere,644.31709434547,689.425199993517,-0.256293847025061,-0.162086041950101,28.2981263707957,38.0810966562164,0.0897138108371709,0.102412963663667,57,56,0,1,53,47,53,47,0,1,1,1,57,56,0,1,50,47,53,47,0,1,0.943396226415094,1,53,47,45.1081056480468,0.0942078050749602,da,burst,explode,sprænge,eksplodere,sprængeeksplodere,eneståendeeksplodere,sprænge,enestående
eksplosion,704.356144917296,792.233357151883,-0.17833369217799,0.147075519802731,30.7514770625384,71.996658224364,0.0810301969121196,0.185244924864331,81,51,0,0,69,42,71,43,0,0,0.971830985915493,0.976744186046512,80,51,1,0,67,42,70,43,1,0,0.957142857142857,0.976744186046512,69,42,87.8772122345866,0.325409211980721,da,earthquake,explosion,jordskælv,eksplosion,jordskælveksplosion,uægteeksplosion,jordskælv,uægte
eksternt,648.814775508184,802.525365369505,-0.280044618584467,0.298561457209906,30.0795222817985,54.1753888040326,0.0932097460199099,0.168955281218499,55,62,0,0,49,52,49,55,0,0,1,0.945454545454545,55,61,0,1,44,51,49,54,0,1,0.897959183673469,0.944444444444444,49,52,153.710589861321,0.578606075794374,da,internal,external,internt,eksternt,internteksternt,åbningeksternt,internt,åbning
elegant,828.819173901013,607.808727272916,0.350086366241855,-0.429772528634903,83.7965975696303,26.8382318546906,0.278945528277199,0.0668439032717568,54,52,1,0,46,44,49,44,1,0,0.938775510204082,1,53,52,2,0,28,43,48,44,2,0,0.583333333333333,0.977272727272727,46,44,-221.010446628098,-0.779858894876758,da,fashionable,elegant,moderigtig,elegant,moderigtigelegant,munkelegant,moderigtig,munk
elektricitet,723.176823518927,727.547959984423,-0.0208772700056939,0.141897450449781,40.4413527486581,58.3909000666417,0.111053014723463,0.236373252599085,59,54,1,0,51,50,54,51,0,0,0.944444444444444,0.980392156862745,58,54,2,0,52,50,54,51,0,0,0.962962962962963,0.980392156862745,51,50,4.37113646549585,0.162774720455475,da,current,electricity,strøm,elektricitet,strømelektricitet,begrundelseelektricitet,strøm,begrundelse
elektrisk,555.107299983455,661.149886783488,-0.526997705953392,-0.294786996909917,18.922479753806,45.1565279607894,0.078888681194644,0.11983875278227,51,58,0,0,50,53,50,53,0,0,1,1,51,58,0,0,48,49,50,53,0,0,0.96,0.924528301886792,50,53,106.042586800032,0.232210709043476,da,magnetic,electric,magnetisk,elektrisk,magnetiskelektrisk,baseelektrisk,magnetisk,base
element,610.04228571318,623.304172418084,-0.428373189771849,-0.248739323690006,37.0595762144307,26.760309027972,0.135990210370077,0.10125142289201,51,64,0,2,49,58,51,59,0,1,0.96078431372549,0.983050847457627,51,65,0,1,50,59,51,60,0,0,0.980392156862745,0.983333333333333,49,58,13.261886704904,0.179633866081843,da,factor,element,faktor,element,faktorelement,millionærelement,faktor,millionær
elendighed,618.334108697421,677.188176468841,-0.259063489733766,-0.197258355571798,31.8247328554977,40.4415600187586,0.118433298377011,0.103565965385977,56,55,0,0,46,51,47,53,0,0,0.978723404255319,0.962264150943396,56,55,0,0,46,53,47,53,0,0,0.978723404255319,1,46,51,58.8540677714199,0.0618051341619686,da,poverty,misery,fattigdom,elendighed,fattigdomelendighed,kidnappeelendighed,fattigdom,kidnappe
elsker,538.593269217599,593.812352941309,-0.693498114373647,-0.527560564201335,21.9316820493625,29.735947303019,0.0611623217734565,0.0720391350648264,54,55,0,0,52,51,52,51,0,0,1,1,54,55,0,0,51,51,52,51,0,0,0.980769230769231,1,52,51,55.2190837237098,0.165937550172312,da,mistress,lover,elskerinde,elsker,elskerindeelsker,journalistikelsker,elskerinde,journalistik
endelige,731.825806463488,651.163862060992,-0.125426534336834,-0.284492602193676,51.6794843278775,24.8950089080305,0.117989324606657,0.0809206916486985,68,62,2,0,62,58,62,59,0,0,1,0.983050847457627,68,62,2,0,61,58,62,59,0,0,0.983870967741935,0.983050847457627,62,58,-80.6619444024967,-0.159066067856842,da,final,ultimate,sidste,endelige,sidsteendelige,medlemendelige,sidste,medlem
endeligt,541.357464288561,632.016886358018,-0.653188115009035,-0.405873314308264,19.5415079206647,34.0045091356168,0.052509891720743,0.0843973288740566,60,54,1,0,56,45,56,45,1,0,1,1,60,54,1,0,47,44,56,45,1,0,0.839285714285714,0.977777777777778,56,44,90.6594220694564,0.247314800700771,da,finally,eventually,slutteligt,endeligt,slutteligtendeligt,genkendeendeligt,slutteligt,genkende
energi,473.848580003243,551.229388890059,-0.853062396428174,-0.652493593259724,13.4027327046486,22.5127898075133,0.0327228208508928,0.0699465883769779,53,56,0,0,50,54,51,54,0,0,0.980392156862745,1,53,56,0,0,50,54,51,54,0,0,0.980392156862745,1,50,54,77.3808088868165,0.20056880316845,da,power,energy,strøm,energi,strømenergi,kokenergi,strøm,kok
enhed,608.267840912011,627.073493333665,-0.431860255320296,-0.427599563272435,25.4162611163708,24.3145487973083,0.0862133584060554,0.0732879117452107,50,79,0,0,44,76,44,76,0,0,1,1,50,79,0,0,43,74,44,76,0,0,0.977272727272727,0.973684210526316,44,75,18.8056524216533,0.00426069204786078,da,chip,device,chip,enhed,chipenhed,anstændigenhed,chip,anstændig
enorm,548.905176465118,637.012639995638,-0.578143864705271,-0.401385505268913,29.5903521961346,29.5427888812489,0.0817707402194983,0.0714865578725133,56,57,0,0,51,50,51,50,0,0,1,1,56,57,0,0,51,47,51,50,0,0,1,0.94,51,50,88.1074635305202,0.176758359436357,da,big,huge,stor,enorm,storenorm,datterenorm,stor,datter
ensom,540.315347827523,607.572589039008,-0.701300682384421,-0.458926287198339,18.9303463402263,22.5788349151231,0.0661282541806065,0.0693738363420982,50,80,0,0,46,73,48,73,0,0,0.958333333333333,1,50,80,0,0,47,72,48,73,0,0,0.979166666666667,0.986301369863014,46,73,67.2572412114846,0.242374395186082,da,alone,lonely,alene,ensom,aleneensom,internationalensom,alene,international
epidemi,642.776423738394,703.639666658515,-0.21565352935631,-0.0955949104212874,21.2243620930565,40.1414466407234,0.0955384100907982,0.102921088874707,62,54,0,0,59,45,59,49,0,0,1,0.918367346938776,62,54,0,0,52,46,59,49,0,0,0.88135593220339,0.938775510204082,59,45,60.8632429201202,0.120058618935023,da,plague,epidemic,pest,epidemi,pestepidemi,sesepidemi,pest,ses
episode,584.344770826958,660.569454541665,-0.572040942863872,-0.328601062846074,34.2366980189619,32.4027990101387,0.0844897200450495,0.0838711613252511,50,99,1,2,48,88,48,89,0,1,1,0.98876404494382,51,99,0,2,44,88,48,89,0,1,0.916666666666667,0.98876404494382,48,88,76.2246837147071,0.243439880017797,da,series,episode,serie,episode,serieepisode,havepisode,serie,hav
erektion,713.781327285822,776.020653070253,-0.0301377291179623,0.272005422318043,26.2020447299789,36.9757329861049,0.0788033719675317,0.136995926618916,60,58,0,1,56,49,56,58,0,0,1,0.844827586206897,60,59,0,0,54,54,56,58,0,0,0.964285714285714,0.931034482758621,55,49,62.2393257844304,0.302143151436005,da,orgasm,erection,orgasme,erektion,orgasmeerektion,renerektion,orgasme,ren
evaluering,613.700888892832,730.216122441254,-0.357941573439854,-0.0906375593961186,15.1499086664119,36.4500742073072,0.0595032789782818,0.110281541259302,51,58,0,1,45,49,46,51,0,1,0.978260869565217,0.96078431372549,51,58,0,1,44,47,46,51,0,1,0.956521739130435,0.92156862745098,45,49,116.515233548422,0.267304014043735,da,observation,evaluation,observation,evaluering,observationevaluering,vælgeevaluering,observation,vælge
evne,592.867291662097,741.790777773055,-0.440392925542776,0.00467349614842539,46.7482641628704,36.5060186664435,0.164772798470841,0.114323066385747,53,60,1,0,48,54,49,55,0,0,0.979591836734694,0.981818181818182,53,60,1,0,46,18,49,55,0,0,0.938775510204082,0.327272727272727,48,54,148.923486110958,0.445066421691201,da,capacity,ability,kompetence,evne,kompetenceevne,attachetaskeevne,kompetence,attachetaske
falsk,591.670266657142,689.188781249406,-0.566190571774347,-0.278490760519659,52.579217594489,43.7157371319911,0.130552046570785,0.104793580730727,51,72,0,3,45,64,45,64,0,1,1,1,51,73,0,2,43,64,45,64,0,1,0.955555555555556,1,45,64,97.5185145922644,0.287699811254688,da,fake,false,uægte,falsk,uægtefalsk,mandagfalsk,uægte,mandag
familie,574.082450973999,540.872356141443,-0.575957376349428,-0.661140334147222,37.2589613546796,18.1250057976122,0.10551620213972,0.0507851956168735,55,89,0,0,51,73,51,73,0,0,1,1,54,89,1,0,38,72,51,73,0,0,0.745098039215686,0.986301369863014,51,73,-33.2100948325557,-0.0851829577977946,da,clan,family,klan,familie,klanfamilie,luftfamilie,klan,luft
fange,566.165208335529,577.181199994961,-0.597862285427789,-0.504772766848038,24.4097194799004,20.8014381853917,0.0686146042246249,0.08625491431095,54,52,0,0,49,45,49,45,0,0,1,1,54,52,0,0,47,44,49,45,0,0,0.959183673469388,0.977777777777778,48,45,11.0159916594324,0.0930895185797513,da,hostage,prisoner,gidsel,fange,gidselfange,simpelthenfange,gidsel,simpelthen
fange.1,530.390805184522,662.062562505983,-0.683447396499954,-0.336582685407221,16.5574424440467,50.3187456351775,0.0564838299814216,0.150875560985724,89,54,2,0,77,48,77,49,1,0,1,0.979591836734694,89,54,2,0,74,47,77,49,1,0,0.961038961038961,0.959183673469388,77,48,131.671757321461,0.346864711092733,da,grab,catch,gribe,fange,gribefange,sladderfange,gribe,sladder
fantasi,660.893740734738,613.27716665815,-0.301592029875737,-0.434464149172831,45.492898442359,29.2727650145322,0.148357242062046,0.0822930592440222,59,81,0,0,54,72,54,73,0,0,1,0.986301369863014,59,80,0,1,53,59,54,72,0,1,0.981481481481482,0.819444444444444,54,72,-47.6165740765884,-0.132872119297094,da,reality,fantasy,virkelighed,fantasi,virkelighedfantasi,slængfantasi,virkelighed,slæng
fantastisk,547.790480000064,603.197346151746,-0.596818141907759,-0.447008954518103,18.99620916874,36.3526689417416,0.0628884929754588,0.126713223491278,50,55,0,0,50,52,50,52,0,0,1,1,50,55,0,0,49,52,50,52,0,0,0.98,1,50,52,55.4068661516814,0.149809187389656,da,wonderful,fantastic,vidunderlig,fantastisk,vidunderligfantastisk,tålmodighedfantastisk,vidunderlig,tålmodighed
far,451.462346943875,513.944204075932,-0.941839174416728,-0.763847313675516,16.3503640960019,22.2607068553264,0.0665605788624269,0.0605215565957478,51,52,1,1,49,49,49,49,0,1,1,1,51,52,1,1,47,49,49,49,0,1,0.959183673469388,1,49,49,62.4818571320567,0.177991860741212,da,mother,father,mor,far,morfar,forekommefar,mor,forekomme
far.1,517.575366193697,573.858576927267,-0.761380898010448,-0.517699423822883,15.5702944240326,34.7984737247399,0.0477824578298553,0.124104270464953,82,54,1,0,72,52,73,52,0,0,0.986301369863014,1,80,54,3,0,70,50,72,52,1,0,0.972222222222222,0.961538461538462,71,52,56.2832107335707,0.243681474187565,da,uncle,dad,onkel,far,onkelfar,kaosfar,onkel,kaos
fare,691.132406264273,672.523458330472,-0.109152118589767,-0.241336849916833,36.852490248187,35.77920299925,0.115358667565402,0.114792990677483,69,53,0,1,64,48,64,49,0,1,1,0.979591836734694,68,54,1,0,62,49,63,50,1,0,0.984126984126984,0.98,64,48,-18.608947933801,-0.132184731327066,da,risk,danger,risiko,fare,risikofare,papirfare,risiko,papir
farlig,588.732452818177,612.825301889491,-0.556399985996763,-0.49040097973786,23.4103689449411,43.6807829614978,0.0677664971644512,0.110501228681588,59,55,0,1,53,53,54,53,0,0,0.981481481481482,1,59,54,0,2,52,50,54,52,0,1,0.962962962962963,0.961538461538462,53,53,24.0928490713135,0.0659990062589024,da,risky,dangerous,risikabel,farlig,risikabelfarlig,skilsmissefarlig,risikabel,skilsmisse
farvel,505.159395848413,563.392074075726,-0.786637393498274,-0.577791696157054,15.9504990673538,28.1971373660471,0.0624317780405218,0.09033857763811,51,62,1,0,48,54,48,54,0,0,1,1,51,62,1,0,47,53,48,54,0,0,0.979166666666667,0.981481481481482,48,54,58.2326782273127,0.20884569734122,da,hello,bye,hej,farvel,hejfarvel,nyrefarvel,hej,nyre
fax,659.511825009668,731.093344250409,-0.185605329382435,0.0385427517584681,29.9973881619844,37.9344158270407,0.0998298108622846,0.11390800361407,53,81,1,0,40,62,47,71,1,0,0.851063829787234,0.873239436619718,53,81,1,0,46,69,47,71,1,0,0.978723404255319,0.971830985915493,40,61,71.5815192407415,0.224148081140903,da,mail,fax,post,fax,postfax,legfax,post,leg
feber,602.374448978625,563.545241378566,-0.458160574430587,-0.56132855153238,31.7895237139852,22.1488012251788,0.0902039928812538,0.0652080784776536,54,59,0,0,49,58,50,58,0,0,0.98,1,54,59,0,0,46,55,50,58,0,0,0.92,0.948275862068966,49,58,-38.8292076000589,-0.103167977101794,da,cough,fever,hoste,feber,hostefeber,selskabfeber,hoste,selskab
fejltagelse,660.429719296682,722.47354053988,-0.256816557948549,0.021898612934672,30.2943400301661,22.9226529592652,0.0728010218215602,0.0942410563145941,68,82,0,2,57,74,57,75,0,1,1,0.986666666666667,68,83,0,1,57,75,57,75,0,1,1,1,57,74,62.0438212431983,0.278715170883221,da,error,mistake,fejl,fejltagelse,fejlfejltagelse,støttefejltagelse,fejl,støtte
festival,607.593392863078,572.56666666342,-0.383270650796958,-0.631156195157764,23.3027107048612,19.2361170375142,0.0782159351032091,0.0518535421066963,63,53,0,0,56,48,57,48,0,0,0.982456140350877,1,63,53,0,0,47,48,57,48,0,0,0.824561403508772,1,56,48,-35.0267261996572,-0.247885544360805,da,carnival,festival,karneval,festival,karnevalfestival,løbefestival,karneval,løbe
fiasko,638.313102043322,649.774327262453,-0.31312024185941,-0.234443233957896,29.5864588295743,28.5267562273999,0.0783233253524451,0.09603528308252,51,59,1,0,49,55,51,55,0,0,0.96078431372549,1,51,59,1,0,48,55,51,55,0,0,0.941176470588235,1,49,55,11.4612252191312,0.0786770079015139,da,success,failure,succes,fiasko,succesfiasko,brusebadfiasko,succes,brusebad
film,515.052470587887,640.767926319053,-0.723606701066956,-0.331165020460693,18.5320520407796,36.4936072903349,0.0578253883148231,0.109210966116197,57,111,0,3,51,95,51,97,0,2,1,0.979381443298969,56,110,1,4,49,93,50,96,1,3,0.98,0.96875,51,95,125.715455731167,0.392441680606263,da,porn,movie,porno,film,pornofilm,troskabfilm,porno,troskab
finansiel,825.443971423661,763.112950586086,0.283409153290326,0.0518297373382395,47.5095510555101,39.8383102329273,0.15536319827596,0.11011644941445,92,92,1,0,70,81,81,84,1,0,0.864197530864197,0.964285714285714,92,92,1,0,57,71,82,84,0,0,0.695121951219512,0.845238095238095,70,81,-62.331020837575,-0.231579415952087,da,banking,financial,bankvæsen,finansiel,bankvæsenfinansiel,legemefinansiel,bankvæsen,legeme
finansiering,716.32486273617,800.077796875393,-0.0803878556224102,0.251998119497545,31.6603199421753,42.1898640761308,0.106105070148309,0.124960391209081,56,75,0,0,51,65,53,66,0,0,0.962264150943396,0.984848484848485,56,75,0,0,52,64,53,66,0,0,0.981132075471698,0.96969696969697,51,64,83.7529341392233,0.332385975119955,da,budget,funding,budget,finansiering,budgetfinansiering,klatrefinansiering,budget,klatre
finansiering.1,844.770403220947,728.224907695002,0.37289248140428,0.0128276830175757,36.1880928956426,43.1423108274647,0.107952539607175,0.117174246967694,72,70,1,0,63,65,63,67,1,0,1,0.970149253731343,71,70,2,0,60,62,62,67,2,0,0.967741935483871,0.925373134328358,62,65,-116.545495525944,-0.360064798386704,da,financially,financing,financielt,finansiering,financieltfinansiering,ørkenfinansiering,financielt,ørken
finde,628.425980378268,602.234537037412,-0.426980647548421,-0.368860529973998,39.3236557341395,28.4700701660071,0.104170279982146,0.0950937949952315,55,61,1,0,51,54,52,56,0,0,0.980769230769231,0.964285714285714,55,61,1,0,50,47,52,56,0,0,0.961538461538462,0.839285714285714,51,54,-26.1914433408558,0.0581201175744221,da,search,find,søge,finde,søgefinde,washingtonfinde,søge,washington
fingeraftryk,753.160431476143,644.285049972859,0.0234139910523649,-0.314663740104447,58.4004624728678,27.8229760007486,0.15496652596419,0.0689479981673406,57,51,0,0,54,41,54,41,0,0,1,1,57,50,0,1,48,39,54,41,0,0,0.888888888888889,0.951219512195122,54,40,-108.875381503284,-0.338077731156812,da,dna,fingerprint,dna,fingeraftryk,dnafingeraftryk,velsmagendefingeraftryk,dna,velsmagende
firben,682.812901976436,738.641518530135,-0.136694838591803,0.0241699437830308,30.7711681029974,48.2020737781051,0.106452476689344,0.140498007320211,56,59,0,0,51,54,54,55,0,0,0.944444444444444,0.981818181818182,56,59,0,0,51,51,54,55,0,0,0.944444444444444,0.927272727272727,51,54,55.8286165536989,0.160864782374833,da,frog,lizard,frø,firben,frøfirben,ritualfirben,frø,ritual
fire,565.636857139408,637.278226192621,-0.526364178318597,-0.302993732046436,26.2354577363573,24.8987389908604,0.0948880050047953,0.0870270026574924,53,95,0,2,49,84,50,85,0,1,0.98,0.988235294117647,53,95,0,2,42,78,50,85,0,1,0.84,0.917647058823529,49,84,71.6413690532135,0.223370446272161,da,two,four,to,fire,tofire,mesterfire,to,mester
fisk,502.591077928262,567.655760863272,-0.769423858791743,-0.582154534213643,16.2540740052533,21.6136495980067,0.0544680023940682,0.0608430161496588,89,57,0,0,77,46,79,46,0,0,0.974683544303797,1,88,57,1,0,69,45,78,46,1,0,0.884615384615385,0.978260869565217,77,46,65.0646829350105,0.1872693245781,da,shark,fish,haj,fisk,hajfisk,patientfisk,haj,patient
fiskeri,553.902244668207,567.141844451564,-0.530592029591606,-0.516976740122002,15.4045160119527,25.6023712050781,0.0539797553743967,0.0661752213753146,52,50,0,0,47,45,49,47,0,0,0.959183673469388,0.957446808510638,52,50,0,0,47,45,49,47,0,0,0.959183673469388,0.957446808510638,47,45,13.2395997833579,0.0136152894696038,da,hunting,fishing,jagt,fiskeri,jagtfiskeri,stillefiskeri,jagt,stille
