target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ar_cue,ar_target,ar_word_combo_related,ar_word_combo_unrelated,ar_cue_word_related,ar_cue_word_unrelated
ثلج,474.30641667711,614.403083349462,-0.814021516124285,-0.546079061747932,17.7602319896603,22.2949045509915,0.0898791564178375,0.0924890792121182,15,14,1,0,12,12,12,12,0,0,1,1,15,14,1,0,12,10,12,12,0,0,1,0.833333333333333,12,12,140.096666672352,0.267942454376353,ar,rain,snow,مطر,ثلج,مطرثلج,خطفثلج,مطر,خطف
جائزة,595.422571413915,582.880142869062,-0.540704415527637,-0.431613572844283,61.3917906246055,88.5264866069896,0.174729876173404,0.28771352078111,25,10,3,1,21,7,21,8,0,0,1,0.875,25,10,3,1,19,8,21,8,0,0,0.904761904761905,1,21,7,-12.5424285448531,0.109090842683354,ar,bonus,reward,علاوة,جائزة,علاوةجائزة,كنيسةجائزة,علاوة,كنيسة
جائزة.1,574.3022857026,,-0.60799399729079,,32.6233375084903,,0.195665251703827,,8,,1,,7,,7,,0,,1,,8,,1,,5,,7,,0,,0.714285714285714,,7,,,,ar,nobel,prize,نوبل,جائزة,نوبلجائزة,ثانويجائزة,نوبل,ن
جائع,1122.26599999552,675.348000001715,1.58437708610132,-0.328438447866399,371.466000001528,149.273999998666,1.9879910490786,0.154002353551403,2,3,0,0,2,2,2,2,0,0,1,1,2,3,0,0,2,2,2,2,0,0,1,1,2,2,-446.917999993806,-1.91281553396772,ar,tired,hungry,متعَب,جائع,متعَبجائع,البرمجياتجائع,متعَب,البرمجيات
جامعة,484.042666653695,464.832000000053,-0.81571933169775,-0.688279944238687,126.701031985696,,0.387026118059619,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,-19.210666653642,0.127439387459063,ar,college,university,كلية,جامعة,كليةجامعة,غير ممكنجامعة,كلية,غير ممكن
جبر,570.948000049153,794.671399999991,-0.769266180232151,0.144544140465841,30.4696743788643,196.462024878502,0.145058219741331,0.56702748289579,4,6,0,0,4,5,4,5,0,0,1,1,4,6,0,0,4,5,4,5,0,0,1,1,4,5,223.723399950838,0.913810320697993,ar,strength,force,قوة,جبر,قوةجبر,الصحةجبر,قوة,الصحة
جبل,520.790666702378,585.058913023451,-1.08958513495526,-0.542616633121395,19.3382622275794,25.7073171540094,0.187638158650028,0.132381845065774,6,26,1,2,6,23,6,23,0,0,1,1,6,26,1,2,5,22,6,23,0,0,0.833333333333333,0.956521739130435,6,23,64.2682463210732,0.546968501833865,ar,hill,mountain,تل,جبل,تلجبل,موزجبل,تل,موز
جبنه,565.595476201206,,-0.637608650371301,,33.8672631949353,,0.0868068012025304,,27,,1,,21,,21,,0,,1,,27,,1,,21,,21,,0,,1,,21,,,,ar,bread,cheese,خبز,جبنه,خبزجبنه,بندقيةجبنه,خبز,بندقية
جثة,632.375333345194,647.686500032374,-0.508620049987132,-0.278554100110833,40.733001922725,40.8302066446403,0.116472423723024,0.153560614480256,10,7,0,0,9,6,9,6,0,0,1,1,10,7,0,0,9,6,9,6,0,0,1,1,9,6,15.31116668718,0.230065949876298,ar,body,corpse,جسم,جثة,جسمجثة,رأيجثة,جسم,رأي
جدا,628.219565224326,546.840200007125,-0.366848039714221,-0.634032871999525,43.8458387055048,37.5693326815638,0.175525494955713,0.221057459093814,26,7,1,3,23,5,24,5,0,2,0.958333333333333,1,26,7,1,3,22,5,24,5,0,2,0.916666666666667,1,23,5,-81.3793652172016,-0.267184832285304,ar,extremely,very,الى ابعد حد,جدا,الى ابعد حدجدا,يدفعجدا,الى ابعد حد,يدفع
جدة,884.198249967768,1288.06700000301,0.0640307136032163,2.91279968262212,281.503202595327,,0.629202339610644,,8,2,1,0,8,1,8,1,1,0,1,1,9,2,0,0,8,1,9,1,0,0,0.888888888888889,1,8,1,403.868750035242,2.8487689690189,ar,grandfather,grandmother,جد,جدة,جدجدة,جذابجدة,جد,جذاب
جدول,,536.478333460128,,-0.68940319452247,,18.7581298267495,,0.160267813446336,,5,,0,,3,,3,,0,,1,,5,,0,,3,,3,,0,,1,,3,,,ar,calendar,schedule,تقويم,جدول,تقويمجدول,جنوبجدول,تقويم,جنوب
جذب,596.654666663177,655.47575000718,-0.506860837914087,-0.267413648685512,64.0975030904157,51.8489014742074,0.37783100772629,0.175250176217955,7,30,0,1,6,28,6,28,0,0,1,1,7,30,0,1,6,26,6,28,0,0,1,0.928571428571429,6,28,58.8210833440031,0.239447189228576,ar,attention,attract,اهتمام,جذب,اهتمامجذب,القدرهجذب,اهتمام,القدره
جرام,781.671611112594,739.413181819749,0.0659024699170808,0.0114737387395318,72.3836561512307,59.4207840629998,0.232106990726071,0.223010415588261,22,14,2,0,18,11,18,13,0,0,1,0.846153846153846,22,14,2,0,17,13,18,13,0,0,0.944444444444444,1,18,11,-42.2584292928448,-0.054428731177549,ar,kilo,gram,كيلو,جرام,كيلوجرام,اقترحجرام,كيلو,اقترح
جرذ,737.746444408335,604.49949999986,0.0274496749151286,-0.512450013567383,71.2250325350149,234.089500000176,0.34827416435585,0.599737198079487,11,4,0,0,9,2,10,3,0,0,0.9,0.666666666666667,10,4,1,0,10,3,10,3,0,0,1,1,9,2,-133.246944408476,-0.539899688482511,ar,mouse,rat,فأر,جرذ,فأرجرذ,خاصجرذ,فأر,خاص
جريدة,718.434249982413,554.452666665621,-0.144600838350213,-0.841615123194873,108.765372679295,37.9069908263388,0.365750213838186,0.233376120663965,5,4,0,3,4,3,4,3,0,0,1,1,5,4,0,3,4,3,4,3,0,0,1,1,4,3,-163.981583316791,-0.69701428484466,ar,article,newspaper,مقال,جريدة,مقالجريدة,وفاءجريدة,مقال,وفاء
جريمة,528.41879999463,,-0.558829346763898,,57.567850697654,,0.191060139093246,,7,,0,,5,,5,,0,,1,,7,,0,,5,,5,,0,,1,,5,,,,ar,sin,crime,خطيئة,جريمة,خطيئةجريمة,وحيجريمة,خطيئة,وحي
جماعة,560.675545419683,537.831571363852,-0.808953405045474,-0.679420557826194,44.8866644008869,38.3192730717567,0.116044793719944,0.146613945859041,11,8,0,1,11,7,11,7,0,0,1,1,10,8,1,1,10,7,10,7,1,0,1,1,11,7,-22.8439740558309,0.129532847219279,ar,society,community,مجتمع,جماعة,مجتمعجماعة,عديم الفائدةجماعة,مجتمع,عديم الفائدة
جمال,563.982999989581,591.526416633047,-0.656438169066631,-0.404536615685241,40.6032860422407,60.9522834861776,0.141404859364025,0.242716771566355,5,13,2,1,4,12,4,12,1,0,1,1,5,13,2,1,2,12,4,12,1,0,0.5,1,4,12,27.5434166434663,0.25190155338139,ar,charm,beauty,سحر,جمال,سحرجمال,كتفجمال,سحر,كتف
جمجمة,589.491000000038,386.227000008919,-0.836450339669932,-0.98062337678604,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,-203.263999991119,-0.144173037116109,ar,bone,skull,عظم,جمجمة,عظمجمجمة,تحذيرجمجمة,عظم,تحذير
جملة,,552.277999967977,,-0.690158962271198,,54.9768488652366,,0.207149713283945,,5,,0,,4,,4,,0,,1,,5,,0,,4,,4,,0,,1,,4,,,ar,word,sentence,كلمة,جملة,كلمةجملة,زوججملة,كلمة,زوج
جمهور,,555.611000000732,,-0.642081823871318,,,,,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,,ar,crowd,audience,حشد,جمهور,حشدجمهور,معبدجمهور,حشد,معبد
جميل,654.240133322054,645.336750005241,-0.375731466983632,-0.566979587411482,127.119050499697,82.5203278571439,0.366850887563202,0.178896648966243,19,4,1,0,15,4,15,4,0,0,1,1,19,4,1,0,15,4,15,4,0,0,1,1,15,4,-8.90338331681312,-0.19124812042785,ar,pretty,beautiful,جميلة,جميل,جميلةجميل,التشغيلجميل,جميلة,التشغيل
جهاز,709.699000013527,549.346428565515,-0.187699058010624,-0.608026988639016,55.0007195166723,18.4504611631024,0.192723849419305,0.0700691523169777,10,18,1,2,9,14,9,14,1,0,1,1,8,18,3,2,5,13,8,14,2,0,0.625,0.928571428571429,9,14,-160.352571448012,-0.420327930628392,ar,chip,device,رقاقة,جهاز,رقاقةجهاز,خلوقجهاز,رقاقة,خلوق
جهاز إرسال,690.712000013102,707.357499977661,-0.219630808439778,-0.17758097947431,73.0159386606134,46.8429214989163,0.127513311083187,0.194413467811554,5,5,0,0,5,4,5,4,0,0,1,1,5,5,0,0,5,3,5,4,0,0,1,0.75,5,4,16.645499964559,0.0420498289654679,ar,sensor,transmitter,المستشعر,جهاز إرسال,المستشعرجهاز إرسال,حزينجهاز إرسال,المستشعر,حزين
جهاز ضبط الوقت,1269.239,1955.56599999999,0.993906511698617,4.32219340279315,,,,,2,2,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,1,1,1,0,0,0,1,1,1,686.32699999999,3.32828689109453,ar,detonator,timer,مفجر,جهاز ضبط الوقت,مفجرجهاز ضبط الوقت,راضيجهاز ضبط الوقت,مفجر,راضي
جواز سفر,614.889833229943,710.371749886748,-0.477781778644579,-0.295282464107399,58.6893809018815,53.6787090541093,0.170515257351068,0.0962839326602447,6,4,0,1,6,4,6,4,0,0,1,1,6,4,0,1,6,4,6,4,0,0,1,1,6,4,95.4819166568047,0.18249931453718,ar,ticket,passport,تذكرة,جواز سفر,تذكرةجواز سفر,مفهومجواز سفر,تذكرة,مفهوم
جودة,478.007000001119,641.965222213967,-0.902176128457268,-0.312008934655826,18.6210000018765,39.1293417039616,0.320765022359371,0.16268469092581,4,22,0,0,2,18,2,18,0,0,1,1,4,22,0,0,2,17,2,18,0,0,1,0.944444444444444,2,18,163.958222212848,0.590167193801443,ar,quantity,quality,كمية,جودة,كميةجودة,يقودجودة,كمية,يقود
جوليت,645.734333269764,,-0.48893083629696,,86.4200973728783,,0.362688010116763,,6,,0,,3,,5,,0,,0.6,,6,,0,,2,,5,,0,,0.4,,3,,,,ar,romeo,juliet,روميو,جوليت,روميوجوليت,الفندقجوليت,روميو,الفندق
جوهرة,597.597857108822,657.373375001698,-0.581066983865682,-0.454678583021836,47.1846584279494,50.7242084416161,0.18927616147255,0.182270119739482,8,10,0,0,7,8,7,8,0,0,1,1,8,10,0,0,7,8,7,8,0,0,1,1,7,8,59.7755178928763,0.126388400843845,ar,diamond,jewel,الماس,جوهرة,الماسجوهرة,مباشرجوهرة,الماس,مباشر
جيش,600.852375011869,636.605399914156,-0.562810907778195,-0.510612987022659,29.6419767503192,36.8908933260654,0.213373665839935,0.146370457756686,8,6,0,0,8,5,8,5,0,0,1,1,8,6,0,0,5,5,8,5,0,0,0.625,1,8,5,35.7530249022865,0.0521979207555358,ar,legion,army,الفيلق,جيش,الفيلقجيش,خبز محمصجيش,الفيلق,خبز محمص
جُسيم,823.635333338442,,0.273644680479188,,54.2738185076318,,0.376456946092444,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,ar,matter,particle,شيء,جُسيم,شيءجُسيم,"",شيء,""
حاجة,643.07564288514,616.705999994068,-0.578827319061296,-0.500065921415333,34.7953855480965,,0.109354814207835,,16,3,0,0,14,1,14,1,0,0,1,1,16,3,0,0,14,1,14,1,0,0,1,1,14,1,-26.3696428910715,0.0787613976459625,ar,necessary,need,ضروري,حاجة,ضروريحاجة,حسن الضيافةحاجة,ضروري,حسن الضيافة
حافلة,505.262999988067,,-0.741253165503953,,32.3888530911103,,0.0942374754387977,,12,,0,,9,,10,,0,,0.9,,12,,0,,10,,10,,0,,1,,9,,,,ar,train,bus,قطار,حافلة,قطارحافلة,حفيدحافلة,قطار,حفيد
حالة,381.742000005906,845.401999967232,-0.998368010999075,0.310208240695441,,233.794830871087,,0.697896197502524,1,4,0,0,1,3,1,3,0,0,1,1,1,4,0,0,1,3,1,3,0,0,1,1,1,3,463.659999961326,1.30857625169452,ar,federal,state,الفيدرالية,حالة,الفيدراليةحالة,ببطءحالة,الفيدرالية,ببطء
حالة طوارئ,784.776500101317,720.657374999908,0.468939100812657,-0.0131139341903502,41.6945000893905,49.0305819846218,0.221999073633799,0.197324928572107,4,9,1,0,2,8,2,8,0,0,1,1,4,9,1,0,2,8,2,8,0,0,1,1,2,8,-64.1191251014097,-0.482053035003007,ar,urgent,emergency,عاجل,حالة طوارئ,عاجلحالة طوارئ,نموذجحالة طوارئ,عاجل,نموذج
حانة,1505.59600004769,621.712249992386,2.32822114693012,-0.505426393721535,687.376000047719,53.4700860691461,2.37312729236671,0.167448793659028,4,7,0,1,2,4,3,5,0,1,0.666666666666667,0.8,4,8,0,0,2,6,3,6,0,0,0.666666666666667,1,2,4,-883.883750055305,-2.83364754065166,ar,club,bar,نادي,حانة,ناديحانة,عقليحانة,نادي,عقلي
حبل,490.701999979152,1033.57383334006,-0.862523950146598,0.688715355271231,35.543000002974,391.652577084584,0.217993783343216,1.21036704234575,2,8,0,0,2,6,2,6,0,0,1,1,2,8,0,0,2,5,2,6,0,0,1,0.833333333333333,2,6,542.871833360909,1.55123930541783,ar,chain,rope,سلسلة,حبل,سلسلةحبل,محادثةحبل,سلسلة,محادثة
حدث,529.241499999829,643.739000047673,-0.945103958252425,-0.528656032841094,73.373499999812,,0.133338953099477,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,114.497500047844,0.416447925411332,ar,incident,accident,حادثة,حدث,حادثةحدث,يعرضحدث,حادثة,يعرض
حدث.1,631.76809091178,,-0.299079639846514,,43.6244019155573,,0.181367021595112,,24,,2,,22,,22,,0,,1,,24,,2,,22,,22,,0,,1,,22,,,,ar,phenomenon,event,ظاهرة,حدث,ظاهرةحدث,نفوذحدث,ظاهرة,نفوذ
حذاء,599.093529393129,621.142318172071,-0.520903250649315,-0.450654184542426,57.7899322640987,36.4435719546687,0.219134292380656,0.0880824072786247,21,28,0,1,17,22,17,23,0,0,1,0.956521739130435,21,28,0,1,17,21,17,23,0,0,1,0.91304347826087,17,22,22.0487887789419,0.0702490661068892,ar,boot,shoe,حذاء طويل,حذاء,حذاء طويلحذاء,لاجئحذاء,حذاء طويل,لاجئ
حربي,888.402999994112,724.82631819302,-0.0552658850725203,-0.133066489785226,,71.0758275271871,,0.203292259389557,1,25,0,1,1,22,1,23,0,0,1,0.956521739130435,1,25,0,1,1,23,1,23,0,0,1,1,1,22,-163.576681801092,-0.0778006047127061,ar,civil,military,مدني,حربي,مدنيحربي,مكانحربي,مدني,مكان
حساس,663.283749965725,465.265000381507,0.0613826209381099,-1.28902176304297,93.7608478708161,,0.481799123412579,,5,1,0,0,4,1,4,1,0,0,1,1,5,1,0,0,4,1,4,1,0,0,1,1,4,1,-198.018749584218,-1.35040438398108,ar,delicate,sensitive,دقيق,حساس,دقيقحساس,عبادةحساس,دقيق,عبادة
حشرة,568.212800075999,616.122750039972,-0.611634120919871,-0.510052502673511,36.2275109585144,26.6885103451542,0.129196454747822,0.0860004805771235,7,41,0,2,5,36,5,37,0,0,1,0.972972972972973,7,40,0,3,4,36,5,36,0,1,0.8,1,5,36,47.9099499639736,0.101581618246359,ar,spider,insect,عنكبوت,حشرة,عنكبوتحشرة,سفيرحشرة,عنكبوت,سفير
حصاة,818.010137942301,609.287600105768,0.28336809235623,-0.471526276251186,74.7056209443903,165.048834770236,0.203271493084546,0.44505371478482,33,6,2,0,29,5,31,5,0,0,0.935483870967742,1,33,6,2,0,30,5,31,5,0,0,0.967741935483871,1,29,5,-208.722537836533,-0.754894368607416,ar,rock,stone,صخر,حصاة,صخرحصاة,غرفة المركبحصاة,صخر,غرفة المركب
حصان,514.699000000022,559.978000000003,-0.605237042264279,-0.6823003894365,105.917000000015,120.760548872549,0.367174563885759,0.204541756814867,3,3,0,0,2,3,2,3,0,0,1,1,2,3,1,0,2,3,2,3,0,0,1,1,2,3,45.2789999999802,-0.0770633471722212,ar,donkey,horse,حمار,حصان,حمارحصان,مريححصان,حمار,مريح
حصيلة,755.22375007451,785.956000002217,-0.128346936955437,0.148963489914002,127.271788722358,,0.373290256770892,,5,1,0,0,4,1,4,1,0,0,1,1,5,1,0,0,4,1,4,1,0,0,1,1,4,1,30.7322499277075,0.277310426869439,ar,result,outcome,نتيجة,حصيلة,نتيجةحصيلة,محرمحصيلة,نتيجة,محرم
حفرة,620.851636329356,1316.8119999523,-0.568540593598748,1.11606500540993,35.8925681149498,,0.0748590212470521,,13,1,0,0,11,1,11,1,0,0,1,1,13,1,0,0,8,1,11,1,0,0,0.727272727272727,1,11,1,695.960363622944,1.68460559900867,ar,crack,hole,شقّ,حفرة,شقّحفرة,شاعرحفرة,شقّ,شاعر
حفظ,589.279666676884,562.498666666662,-0.664956340539941,-0.614103469372121,45.5695462225218,56.4466518223341,0.126864636686748,0.128036624428298,4,6,0,0,3,6,3,6,0,0,1,1,4,5,0,1,3,5,3,5,0,1,1,1,3,6,-26.7810000102228,0.0508528711678202,ar,rescue,save,إنقاذ,حفظ,إنقاذحفظ,طازجحفظ,إنقاذ,طازج
حفل,571.961300006555,593.701333270874,-0.485720418115545,-0.612515105356373,53.1819508392156,173.325536695588,0.142116458976931,0.403588915419269,11,5,3,0,10,3,10,3,0,0,1,1,11,5,3,0,10,3,10,3,0,0,1,1,10,3,21.7400332643183,-0.126794687240827,ar,reception,party,استقبال,حفل,استقبالحفل,بروتينحفل,استقبال,بروتين
حفلة موسيقية,738.967750020649,783.648749785469,-0.19654405706587,-0.0668248497723014,65.8036189675964,111.878995319961,0.183386490451273,0.377776586821975,19,5,2,0,16,4,16,4,1,0,1,1,19,5,2,0,15,4,16,4,1,0,0.9375,1,16,4,44.6809997648197,0.129719207293569,ar,tour,concert,جولة,حفلة موسيقية,جولةحفلة موسيقية,طاولةحفلة موسيقية,جولة,طاولة
حقا,675.617999988056,706.031333342321,-0.678368939926135,-0.304062632015672,17.2100000119245,68.1205452305358,0.192640360920367,0.171191321838613,4,6,0,0,2,6,3,6,0,0,0.666666666666667,1,4,6,0,0,3,6,3,6,0,0,1,1,2,6,30.4133333542651,0.374306307910463,ar,actually,really,فعلا,حقا,فعلاحقا,أماميحقا,فعلا,أمامي
حقنة,709.207714310381,602.361999976157,-0.170160184426157,-0.590777171172745,24.7411869798134,81.3830000238375,0.114224259193611,0.297124499586338,11,2,0,0,7,2,7,2,0,0,1,1,10,2,1,0,6,2,6,2,1,0,1,1,7,2,-106.845714334224,-0.420616986746588,ar,needle,syringe,إبرة,حقنة,إبرةحقنة,بعض الأحيانحقنة,إبرة,بعض الأحيان
حقنة.1,639.577750099052,626.099285720016,-0.330746935872108,-0.628801160896178,91.1536759523948,69.0213333185167,0.24476226574442,0.246600131435765,4,9,0,0,4,7,4,8,0,0,1,0.875,4,9,0,0,4,7,4,8,0,0,1,0.875,4,7,-13.4784643790359,-0.298054225024071,ar,dose,injection,جرعة,حقنة,جرعةحقنة,ننسىحقنة,جرعة,ننسى
حقيبة سفر,596.663333271753,735.6850000298,-0.48802123626657,0.210616342735658,33.3911678850276,105.670999982103,0.155282658656244,0.366630270129249,10,3,0,0,9,2,9,2,0,0,1,1,10,3,0,0,8,2,9,2,0,0,0.888888888888889,1,9,2,139.021666758047,0.698637579002228,ar,briefcase,suitcase,حقيبة,حقيبة سفر,حقيبةحقيبة سفر,كليةحقيبة سفر,حقيبة,كلية
حقيقي,622.676000047708,516.706055603191,-0.666345358959751,-0.576833465384115,,22.4739500669947,,0.121375043328663,1,22,1,1,1,18,1,18,0,0,1,1,1,22,1,1,1,17,1,18,0,0,1,0.944444444444444,1,18,-105.969944444517,0.0895118935756365,ar,true,real,صحيح,حقيقي,صحيححقيقي,الأكبرحقيقي,صحيح,الأكبر
حكومة,593.604000095394,715.123000119201,-0.67716877398928,-0.0338740599129517,,67.0920000715125,,0.482221837079722,1,4,1,0,1,2,1,2,0,0,1,1,1,4,1,0,1,2,1,2,0,0,1,1,1,2,121.519000023808,0.643294714076328,ar,administration,government,الادارة,حكومة,الادارةحكومة,بطيءحكومة,الادارة,بطيء
حلف,841.801500038928,1021.6679999996,0.526832745726568,0.669254632202628,70.0415037839929,,0.40637608506312,,5,2,0,0,4,1,4,1,0,0,1,1,5,2,0,0,4,1,4,1,0,0,1,1,4,1,179.866499960672,0.14242188647606,ar,swear,oath,قَسَم,حلف,قَسَمحلف,منافسةحلف,قَسَم,منافسة
حلقة,,664,,-0.236903340754756,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,ar,series,episode,مسلسل,حلقة,مسلسلحلقة,بحرحلقة,مسلسل,بحر
حلم,683.171333204179,721.239499999981,-0.48319465769995,-0.299901711829816,79.9513948383459,15.2255000000155,0.352962533689985,0.215029535596029,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,3,2,3,2,0,0,1,1,3,2,38.0681667958025,0.183292945870134,ar,nightmare,dream,كابوس,حلم,كابوسحلم,بشكل طبيعيحلم,كابوس,بشكل طبيعي
حمة,837.498888898088,873.035666623958,0.38851651647464,0.687819806128718,64.1364393387737,184.244000318144,0.195573944362782,0.567809311426955,25,25,1,2,18,6,24,21,0,0,0.75,0.285714285714286,25,25,1,2,21,21,24,21,0,0,0.875,1,18,6,35.5367777258701,0.299303289654078,ar,cough,fever,سعال,حمة,سعالحمة,قميصحمة,سعال,قميص
حمل,673.807333325356,650.69774999702,-0.306736165306704,-0.330217781146305,139.837366149249,57.0281760690684,0.510031315239057,0.230498994636106,3,8,1,0,3,8,3,8,0,0,1,1,3,8,1,0,3,8,3,8,0,0,1,1,3,8,-23.1095833283363,-0.0234816158396012,ar,birth,pregnancy,ولادة,حمل,ولادةحمل,الدعمحمل,ولادة,الدعم
حميم,562.766500095371,712.414499998529,-0.697620162858899,-0.268406574211877,24.4924998092465,21.4711826976286,0.0729528682392521,0.178264687450581,4,5,1,1,2,4,2,4,1,0,1,1,4,5,1,1,2,4,2,4,1,0,1,1,2,4,149.647999903158,0.429213588647022,ar,personal,intimate,شخصي,حميم,شخصيحميم,كيلوحميم,شخصي,كيلو
حول,916.676800057257,643.706850010436,-0.0381636151267882,-0.414070991983218,344.462607766348,54.2625302021864,0.721058842423243,0.153081832795932,5,24,0,1,5,20,5,21,0,0,1,0.952380952380952,5,24,0,1,5,18,5,21,0,0,1,0.857142857142857,5,20,-272.969950046821,-0.37590737685643,ar,out,about,خارج,حول,خارجحول,إيماءةحول,خارج,إيماءة
حول.1,771.251199998701,672.080124989545,0.125035717236499,-0.160398180563654,47.8641226968142,97.7913027891155,0.177477804745709,0.271046773904024,20,9,2,1,15,8,15,8,0,0,1,1,20,9,2,1,15,8,15,8,0,0,1,1,15,8,-99.1710750091561,-0.285433897800152,ar,round,around,مستدير,حول,مستديرحول,مفاجئةحول,مستدير,مفاجئة
حيوان,589.953714436419,936.739857129175,-0.709027126083117,0.253756733577466,46.0768627930737,144.899574444498,0.143065250443462,0.370756918963893,8,7,0,1,7,7,7,7,0,0,1,1,8,7,0,1,7,5,7,7,0,0,1,0.714285714285714,7,7,346.786142692756,0.962783859660583,ar,beast,animal,وحش,حيوان,وحشحيوان,يهنىءحيوان,وحش,يهنىء
خائن,629.745999997006,550.204333327323,-0.200860391218588,-0.698796195438645,39.6901257967439,46.7471876024633,0.262315709873383,0.236895996026113,6,4,1,0,3,3,3,3,0,0,1,1,6,4,1,0,2,2,3,3,0,0,0.666666666666667,0.666666666666667,3,3,-79.5416666696833,-0.497935804220057,ar,spy,traitor,الجاسوس,خائن,الجاسوسخائن,إعلانخائن,الجاسوس,إعلان
خادم,575.869999999025,411.832666669681,-0.361940360006597,-1.13932031730652,71.2612229247803,54.9879233064459,0.289499321701757,0.270031391116719,4,4,0,0,3,3,3,3,0,0,1,1,4,4,0,0,3,3,3,3,0,0,1,1,3,3,-164.037333329344,-0.777379957299922,ar,slave,servant,عبد,خادم,عبدخادم,المثاليخادم,عبد,المثالي
خادمة,519.440000005998,555.828000001493,-0.656327132428584,-0.58573457953491,,1.15400000149401,,0.348002819490506,2,4,0,0,1,2,1,2,0,0,1,1,2,4,0,0,1,2,1,2,0,0,1,1,1,2,36.387999995495,0.0705925528936737,ar,nanny,maid,مربية,خادمة,مربيةخادمة,المذعورخادمة,مربية,المذعور
خارجي,,655.707333331255,,-0.267134208461238,,64.3051523534043,,0.139797559888739,,9,,0,,9,,9,,0,,1,,9,,0,,9,,9,,0,,1,,9,,,ar,internal,external,داخلي,خارجي,داخليخارجي,حمارخارجي,داخلي,حمار
خاطئة,677.013000005973,646.204166662688,0.0890996606057632,-0.221357982999184,,94.6117554316721,,0.43088219342543,2,6,0,0,1,6,1,6,0,0,1,1,2,6,0,0,1,6,1,6,0,0,1,1,1,6,-30.8088333432848,-0.310457643604947,ar,fake,false,مزورة,خاطئة,مزورةخاطئة,الاثنينخاطئة,مزورة,الاثنين
خدّ,968.312666599105,869.914000016095,0.490776004297227,0.669319427695824,236.865910407735,254.170708166201,0.508124377314103,0.88824940838624,3,4,0,0,3,3,3,4,0,0,1,0.75,3,4,0,0,3,4,3,4,0,0,1,1,3,3,-98.3986665830093,0.178543423398597,ar,lip,cheek,شفة,خدّ,شفةخدّ,ورشة عملخدّ,شفة,ورشة عمل
خرطوم,731.989499824791,799.661166644471,-0.0298668177310486,-0.0521825352499077,121.624606867363,187.141945983867,0.481356271047132,0.411639207143495,7,14,0,0,6,12,6,13,0,0,1,0.923076923076923,7,14,0,0,5,13,6,13,0,0,0.833333333333333,1,6,12,67.6716668196798,-0.0223157175188591,ar,pump,hose,مضخة,خرطوم,مضخةخرطوم,مؤسسةخرطوم,مضخة,مؤسسة
خريطة,,547.595999884768,,-0.658758050792727,,38.2125401606439,,0.0522847235565443,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,ar,compass,map,بوصلة,خريطة,بوصلةخريطة,عادلخريطة,بوصلة,عادل
خصوصية,528.429000009585,,-0.713358781480797,,14.1414930141246,,0.0407116336069077,,27,,1,,25,,25,,0,,1,,27,,1,,23,,25,,0,,0.92,,25,,,,ar,private,privacy,خاص,خصوصية,خاصخصوصية,مالكخصوصية,خاص,مالك
خطأ,722.810000005949,498.317500002828,0.0366217874551104,-0.751363789988607,133.987999988094,40.0314999968105,0.406121626514018,0.24489350497402,3,3,0,0,2,2,2,2,0,0,1,1,3,3,0,0,1,2,2,2,0,0,0.5,1,2,2,-224.492500003121,-0.787985577443717,ar,error,mistake,ضلال,خطأ,ضلالخطأ,أخذخطأ,ضلال,أخذ
خطبة,562.612350036801,543.097999868856,-0.573466043456127,-0.799344233880886,28.2774529964307,74.3759516145792,0.104892420634433,0.262327293484579,21,6,1,0,20,4,20,4,0,0,1,1,20,6,2,0,19,4,20,4,0,0,0.95,1,20,4,-19.5143501679443,-0.225878190424759,ar,speech,sermon,خطاب,خطبة,خطابخطبة,غيورخطبة,خطاب,غيور
