target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,hi_cue,hi_target,hi_word_combo,unrelated_hi_cue
नारी,641.850000002247,,-1.50542628819686,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,male,female,नर,नारी,नरनारी,गरज
पासवर्ड,1116.76300000225,,-0.579438140043049,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,code,password,कोड,पासवर्ड,कोडपासवर्ड,शार्क
प्याज,,1010.94800000224,,-0.785756846620683,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,garlic,onion,लहसुन,प्याज,लहसुनप्याज,क्षेत्राधिकार
प्रभात,870.383000002999,,-1.05983130666818,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,tomorrow,morning,आने वाला कल,प्रभात,आने वाला कलप्रभात,फ़ैक्टरी
प्रभात,870.383000002999,,-1.05983130666818,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,tomorrow,morning,आने वाला कल,प्रभात,आने वाला कलप्रभात,नर
प्रहार,888.973000002239,,-1.0235844158198,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,hit,strike,मारो,प्रहार,मारोप्रहार,कलाकार
बाँधना,,1552.25700000225,,0.26969061110104,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,bind,tie,छांदना,बाँधना,छांदनाबाँधना,अनुभव
बैठक,924.049000001512,,-0.955193025641033,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,conference,meeting,सम्मेलन,बैठक,सम्मेलनबैठक,खरीदना
मनोविज्ञान,,1029.80800000299,,-0.748983508188433,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,anatomy,psychology,शरीर रचना,मनोविज्ञान,शरीर रचनामनोविज्ञान,दरार
माइक्रोफ़ोन,,1625.25600000151,,0.412024488729984,,,,,,2,,0,,1,,1,,0,,1,,2,,0,,1,,1,,0,,1,,1,,,hi,camera,microphone,कैमरा,माइक्रोफ़ोन,कैमरामाइक्रोफ़ोन,कम समझना
वाक्यांश,,2562.26200000226,,2.23900427397422,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,0,,1,,0,,0,,1,,,hi,dictionary,phrase,शब्दकोश,वाक्यांश,शब्दकोशवाक्यांश,आय-व्ययक
विषय,,1385.52900000225,,-0.0553966195399137,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,object,subject,वस्तु,विषय,वस्तुविषय,रोमियो
विषय,,1385.52900000225,,-0.0553966195399137,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,object,subject,वस्तु,विषय,वस्तुविषय,हस्ताक्षर
वीडियो,1006.62600000296,,-0.794183907525847,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,dvd,video,डीवीडी,वीडियो,डीवीडीवीडियो,महल
वेब,1447.55100000079,,0.0655342392140965,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,internet,web,इंटरनेट,वेब,इंटरनेटवेब,वंश
वैन,,1074.03100000299,,-0.6627572438499,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,trailer,van,ट्रेलर,वैन,ट्रेलरवैन,विधवा
सामान्य,,1443.03999999998,,0.0567386649992994,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,0,,1,,0,,0,,1,,,hi,ordinary,usual,साधारण,सामान्य,साधारणसामान्य,छांदना
सिरिंज,1326.55800000229,,-0.1703786206322,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,needle,syringe,सुई,सिरिंज,सुईसिरिंज,भूल जाना
स्थान,1446.81400000147,,0.0640972323000729,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,place,location,जगह,स्थान,जगहस्थान,अकेला
स्थान,1446.81400000147,,0.0640972323000729,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,hi,place,location,जगह,स्थान,जगहस्थान,लेस्बियन
हवादार,,1454.23000000225,,0.0785569925244318,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,hi,valve,ventilation,वाल्व,हवादार,वाल्वहवादार,आधिकारिक तौर पर
