target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,ja_cue,ja_target,ja_word_combo,unrelated_ja_cue
ビジネス,699.920819676241,635.647796610929,-0.262272540282935,-0.47976215998015,25.0940073151025,17.9439940435098,0.0793691569725802,0.0447007842487642,78,66,1,0,61,60,62,60,0,0,0.983870967741935,1,76,66,3,0,59,56,61,60,1,0,0.967213114754098,0.933333333333333,61,59,-64.2730230653127,-0.217489619697215,ja,industry,business,産業,ビジネス,産業ビジネス,短い
ビタミン,576.358701761045,668.47242646898,-0.766090761320118,-0.469428587723964,25.1696453287342,38.3773091326944,0.0895777967252886,0.102737208925756,71,78,1,3,57,68,58,68,0,1,0.982758620689655,1,71,78,1,3,56,57,58,68,0,1,0.96551724137931,0.838235294117647,57,68,92.1137247079353,0.296662173596154,ja,protein,vitamin,タンパク質,ビタミン,タンパク質ビタミン,ゾンビ
ビデオ,582.241999990193,640.18097726681,-0.733793213758706,-0.409619883925494,23.4850405361694,25.3647861073333,0.0676188771994799,0.0791805554252198,74,99,6,5,68,89,68,90,3,1,1,0.988888888888889,74,98,6,6,68,88,68,90,3,1,1,0.977777777777778,66,88,57.9389772766161,0.324173329833212,ja,dvd,video,ディスク,ビデオ,ディスクビデオ,要因
ビル,660.926433341694,603.86572882413,-0.438424693137229,-0.572302766657201,25.1855372166291,19.3511814154865,0.0961531325103872,0.0650674998341276,70,70,3,1,60,59,60,60,0,1,1,0.983333333333333,72,70,1,1,59,59,60,60,0,1,0.983333333333333,0.983333333333333,60,59,-57.0607045175641,-0.133878073519972,ja,tower,building,タワー,ビル,タワービル,土曜日
ビール,579.953666681361,595.286078136625,-0.651302046444759,-0.681778073103389,21.6978791331478,16.5226124903877,0.105417133780282,0.0419435753942616,77,74,3,8,70,65,70,66,1,0,1,0.984848484848485,77,74,3,8,69,65,70,66,1,0,0.985714285714286,0.984848484848485,69,64,15.3324114552639,-0.0304760266586293,ja,drink,beer,酒類,ビール,酒類ビール,印象
ピル,653.172419888146,848.287456514828,-0.428877484552507,0.225148880161306,18.9248827938912,34.9191168409756,0.0726837678273048,0.125067011909301,70,92,2,2,58,70,58,75,0,0,1,0.933333333333333,70,92,2,2,54,71,58,75,0,0,0.931034482758621,0.946666666666667,58,70,195.115036626682,0.654026364713812,ja,tablet,pill,錠剤,ピル,錠剤ピル,許し
ファックス,725.971892880395,729.786833346736,-0.120561733826786,-0.157596302961634,35.025109436333,32.4541637947917,0.135340145329812,0.0780470799189955,70,86,4,1,56,78,57,79,0,0,0.982456140350877,0.987341772151899,70,85,4,2,56,78,57,78,0,1,0.982456140350877,1,56,78,3.81494046634077,-0.0370345691348481,ja,mail,fax,郵便物,ファックス,郵便物ファックス,遊ぶ
ファンタジー,727.978730152114,922.950276911371,-0.221855231651568,0.583580268004595,38.9797346596018,55.768721256439,0.0667810993424205,0.188335691713895,73,75,4,6,64,66,68,68,2,2,0.941176470588235,0.970588235294118,74,71,3,10,67,35,68,64,2,6,0.985294117647059,0.546875,63,65,194.971546759257,0.805435499656163,ja,reality,fantasy,現実,ファンタジー,現実ファンタジー,一
フィーリング,717.161753622708,771.457140188827,-0.0160135427202059,0.048405976764573,22.0550795708723,21.8003022880776,0.0919522867111712,0.0771359110107953,78,122,4,5,69,108,71,109,1,1,0.971830985915493,0.990825688073395,78,123,4,4,70,109,71,110,1,0,0.985915492957746,0.990909090909091,69,107,54.2953865661189,0.0644195194847789,ja,impression,feeling,印象,フィーリング,印象フィーリング,地方
フェンス,789.112927715159,776.820940521406,0.0506341453985137,0.0600875221127985,27.523572805628,32.0356860656635,0.0786423840319957,0.0843441061897873,99,95,2,1,83,84,86,87,0,0,0.965116279069767,0.96551724137931,99,95,2,1,83,85,86,87,0,0,0.965116279069767,0.977011494252874,83,84,-12.2919871937527,0.00945337671428478,ja,wall,fence,壁,フェンス,壁フェンス,溶ける
フォーク,618.613750001898,698.24815624243,-0.489583334758729,-0.277996837327454,28.6571109196846,22.9310081520644,0.120267921881467,0.0619545758279187,71,72,3,0,65,65,67,66,0,0,0.970149253731343,0.984848484848485,70,72,4,0,64,40,66,66,1,0,0.96969696969697,0.606060606060606,64,64,79.6344062405313,0.211586497431275,ja,spoon,fork,スプーン,フォーク,スプーンフォーク,錨
フットボール,677.084724637504,729.58874184958,-0.261064870314439,-0.175801375709821,26.0936745522624,32.6328913793668,0.0957700717819104,0.0981621296311519,82,67,2,2,69,58,70,58,1,0,0.985714285714286,1,82,67,2,2,68,58,70,58,1,0,0.971428571428571,1,69,57,52.5040172120766,0.0852634946046182,ja,basketball,football,バスケットボール,フットボール,バスケットボールフットボール,掘る
フライト,669.56155554875,588.336830492491,-0.28885222709525,-0.605444340798138,25.9903167994798,19.0689009397437,0.0758514935776983,0.0570880288271058,88,69,4,5,72,59,73,60,0,2,0.986301369863014,0.983333333333333,88,69,4,5,66,58,73,60,0,2,0.904109589041096,0.966666666666667,72,59,-81.2247250562598,-0.316592113702889,ja,landing,flight,着陸,フライト,着陸フライト,驚き
フランス語,635.040014294406,668.759311480524,-0.485623105293116,-0.374094831172966,22.8932016042175,21.848449969597,0.0721836563193116,0.0917336930114551,78,77,0,4,70,61,70,64,0,1,1,0.953125,78,77,0,4,70,61,70,64,0,1,1,0.953125,70,61,33.719297186118,0.11152827412015,ja,english,french,英語,フランス語,英語フランス語,泥棒
フルーツ,583.887372883695,620.671416649703,-0.582695282285017,-0.418513451629714,25.0729175360213,23.9909450093361,0.0832667452140761,0.081204555940441,70,67,4,6,59,60,60,61,1,1,0.983333333333333,0.983606557377049,70,67,4,6,57,60,60,61,1,1,0.95,0.983606557377049,59,60,36.7840437660082,0.164181830655302,ja,apple,fruit,りんご,フルーツ,りんごフルーツ,プロフィール
フレンドリー,699.856403221691,705.020095250848,-0.195465022961512,-0.21121170216325,19.2634259256698,27.1044374489962,0.0548107138234978,0.0989697146561756,67,73,0,8,63,64,63,64,0,0,1,1,67,73,0,8,63,64,63,64,0,0,1,1,62,63,5.16369202915723,-0.0157466792017375,ja,polite,friendly,礼儀正しい,フレンドリー,礼儀正しいフレンドリー,健康
ブラック,664.308483858773,753.392576264106,-0.434242777717392,-0.0443645584106865,21.9987636517866,35.9580651155166,0.0834891268413081,0.107338730821901,78,77,4,1,67,60,67,62,0,0,1,0.967741935483871,78,74,4,4,64,61,67,61,0,1,0.955223880597015,1,67,59,89.0840924053322,0.389878219306705,ja,white,black,白,ブラック,白ブラック,段階
プライバシー,684.269915244526,619.371592582898,-0.215394158626778,-0.402018061368821,26.3185385283286,18.325575753009,0.089142913870379,0.0628607752229987,69,63,3,7,59,54,60,54,0,4,0.983333333333333,1,69,63,3,7,57,52,60,54,0,4,0.95,0.962962962962963,59,54,-64.8983226616283,-0.186623902742043,ja,private,privacy,プライベート,プライバシー,プライベートプライバシー,ばかげている
プラスチック,574.345521748957,745.221000005745,-0.646242764742958,-0.148715967804588,19.8636900066667,29.0180004423062,0.0786484446915607,0.0897697552362842,79,78,0,4,69,66,70,67,0,1,0.985714285714286,0.985074626865672,79,77,0,5,68,54,70,67,0,1,0.971428571428571,0.805970149253731,69,66,170.875478256788,0.49752679693837,ja,cement,plastic,セメント,プラスチック,セメントプラスチック,十代
プレッシャー,747.264106055436,861.093590119359,-0.123016779005186,0.143363261851585,24.6834064293395,57.5641952388786,0.0726967685484128,0.154818614446131,73,66,1,3,66,59,67,60,0,0,0.985074626865672,0.983333333333333,72,64,2,5,64,27,66,59,1,1,0.96969696969697,0.457627118644068,66,59,113.829484063924,0.266380040856772,ja,pulse,pressure,脈拍,プレッシャー,脈拍プレッシャー,胸糞悪い
プレーヤー,678.377032269958,586.527271405874,-0.293928850612569,-0.503934174546693,22.523297959998,15.7100793638544,0.0741997177424369,0.0587922541226197,75,81,4,5,62,71,63,71,0,2,0.984126984126984,1,75,81,4,5,60,69,63,71,0,2,0.952380952380952,0.971830985915493,62,70,-91.8497608640832,-0.210005323934124,ja,coach,player,コーチ,プレーヤー,コーチプレーヤー,オーブン
プログラム,637.923918029569,633.74589829425,-0.456055553315281,-0.420225819068807,34.7216217247801,24.9489576370878,0.102208530564362,0.0750824994176544,72,66,1,4,61,60,61,60,0,1,1,1,72,66,1,4,61,59,61,60,0,1,1,0.983333333333333,61,59,-4.17801973531959,0.0358297342464742,ja,project,program,事業,プログラム,事業プログラム,整える
プロトコル,856.639835827402,912.533458333901,0.524532242957864,0.647740962678722,41.9165166027253,49.61319242336,0.136484264991481,0.171599653257585,94,91,3,6,68,72,86,80,0,0,0.790697674418605,0.9,94,92,3,5,85,80,86,80,0,0,0.988372093023256,1,67,72,55.8936225064987,0.123208719720858,ja,rule,protocol,ルール,プロトコル,ルールプロトコル,最後の
プロトタイプ,798.121629028285,1061.92037328927,0.218679360874183,0.97615965164688,30.7955972732153,53.588082058634,0.0945524725253938,0.171641098618414,77,85,3,5,62,62,69,72,1,2,0.898550724637681,0.861111111111111,78,84,2,6,70,69,70,71,0,3,1,0.971830985915493,62,62,263.798744260984,0.757480290772697,ja,model,prototype,モデル,プロトタイプ,モデルプロトタイプ,軽食
プロフェッショナル,782.900756780828,931.999118434701,-0.00166340693835624,0.418113593608532,43.2110068064789,48.7088860889936,0.116540773929804,0.12267521088212,63,97,5,3,57,76,57,80,2,1,1,0.95,63,98,5,2,54,78,57,81,2,0,0.947368421052632,0.962962962962963,56,76,149.098361653872,0.419777000546888,ja,amateur,professional,アマチュア,プロフェッショナル,アマチュアプロフェッショナル,報告する
ヘビ,644.621796873157,681.895803033445,-0.441123405969233,-0.289289216615169,18.3411584239265,19.8122688134726,0.0532109290284743,0.0752632583229515,76,79,3,9,64,66,65,69,0,2,0.984615384615385,0.956521739130435,76,79,3,9,59,68,65,69,0,2,0.907692307692308,0.985507246376812,64,66,37.2740061602885,0.151834189354064,ja,worm,snake,いも虫,ヘビ,いも虫ヘビ,匿名
ヘリコプター,690.431316478676,613.186180332052,-0.23753847673711,-0.440479401943136,22.7365371778176,20.1152910698854,0.0735987929153159,0.0704914383904906,90,74,1,1,79,61,81,61,0,0,0.975308641975309,1,90,74,1,1,79,48,81,61,0,0,0.975308641975309,0.786885245901639,79,61,-77.245136146624,-0.202940925206026,ja,ambulance,helicopter,救急車,ヘリコプター,救急車ヘリコプター,ロミオ
ヘロイン,581.978786892813,853.430918086514,-0.67360131966498,0.281636949594625,15.3866728618184,31.0270816303157,0.0582985560697794,0.111663386093176,69,89,5,4,62,67,64,75,2,1,0.96875,0.893333333333333,69,90,5,3,63,73,64,76,2,0,0.984375,0.960526315789474,61,67,271.452131193701,0.955238269259605,ja,cocaine,heroin,コカイン,ヘロイン,コカインヘロイン,誇らしげな
ベッド,596.025306442153,674.107246189939,-0.662595255232926,-0.341499457252939,21.2914216028432,24.4734298345318,0.0612738742503549,0.0693052474240752,72,75,2,2,63,65,64,67,1,0,0.984375,0.970149253731343,72,75,2,2,62,64,64,67,1,0,0.96875,0.955223880597015,62,65,78.0819397477865,0.321095797979987,ja,sofa,bed,ソファー,ベッド,ソファーベッド,忠実
ベッドルーム,818.515160913742,822.908741380417,0.0767303009436908,0.235879147653766,47.3705344934661,49.4397048492284,0.152525974404936,0.157550040971124,97,62,1,3,87,58,91,59,0,2,0.956043956043956,0.983050847457627,96,62,2,3,88,58,90,59,1,2,0.977777777777778,0.983050847457627,87,58,4.39358046667542,0.159148846710076,ja,room,bedroom,部屋,ベッドルーム,部屋ベッドルーム,カエル
ベーコン,592.912515160019,692.043568960889,-0.702246394171467,-0.211285772467982,15.0026983587451,26.8080057050434,0.0443102154489602,0.1156507526776,74,70,1,2,66,59,66,59,0,0,1,1,72,69,3,3,65,55,65,59,1,0,1,0.932203389830508,66,58,99.1310538008703,0.490960621703486,ja,toast,bacon,トースト,ベーコン,トーストベーコン,神経
ペン,593.441327623098,642.257711864065,-0.601806485427516,-0.492707331081585,19.3994788065594,20.3440552215753,0.0706515244175959,0.0705963399119708,64,136,1,4,58,118,59,118,0,1,0.983050847457627,1,64,136,1,4,58,116,59,118,0,1,0.983050847457627,0.983050847457627,58,118,48.8163842409673,0.109099154345931,ja,paper,pen,紙,ペン,紙ペン,テーブル
ホイッスル,739.145507804153,878.927854850921,-0.0257765177713325,0.349585564471139,14.6478383405178,35.2213281025802,0.0460388832561681,0.0894596327083797,151,75,5,3,128,63,132,64,2,0,0.96969696969697,0.984375,151,73,5,5,120,59,132,64,2,0,0.909090909090909,0.921875,128,62,139.782347046768,0.375362082242471,ja,horn,whistle,警笛,ホイッスル,警笛ホイッスル,鮫
ホース,664.998105254379,666.827671440452,-0.459201353136052,-0.182565357582467,44.2509033326268,23.3770316260544,0.0941296980561235,0.0990198717466243,67,81,4,4,58,71,59,72,1,1,0.983050847457627,0.986111111111111,64,82,7,3,56,70,57,72,3,1,0.982456140350877,0.972222222222222,57,70,1.82956618607341,0.276635995553585,ja,pump,hose,ポンプ,ホース,ポンプホース,夜
ボス,592.91412903553,655.153830994441,-0.559322304538434,-0.306752636387548,16.3182529290537,28.6535529871643,0.0649482225146916,0.113683801017908,66,81,4,3,62,71,63,72,2,0,0.984126984126984,0.986111111111111,67,81,3,3,61,68,63,72,2,0,0.968253968253968,0.944444444444444,62,71,62.2397019589113,0.252569668150886,ja,manager,boss,マネージャー,ボス,マネージャーボス,危機的
ボストン,628.092666658261,676.708999993481,-0.409328964766,-0.188518499064669,36.357741737224,18.5505459920617,0.126611027021934,0.0795820853215283,78,78,2,4,66,64,67,66,0,1,0.985074626865672,0.96969696969697,78,79,2,3,67,67,67,67,0,0,1,1,66,64,48.6163333352204,0.220810465701331,ja,washington,boston,ワシントン,ボストン,ワシントンボストン,人
ボトル,642.161915504659,642.074640621392,-0.43905491104315,-0.421213971798094,25.4525855121847,19.0688632584375,0.103819780199784,0.0748549870304547,82,67,1,4,71,64,71,64,1,2,1,1,82,67,1,4,70,58,71,64,1,2,0.985915492957746,0.90625,71,64,-0.0872748832676962,0.0178409392450554,ja,glass,bottle,グラス,ボトル,グラスボトル,ピン
ボート,623.174383336086,727.707831323531,-0.473732334505751,-0.0819477852052071,20.5633236075793,33.679890311722,0.0644800542389822,0.104135722776507,66,94,2,4,60,83,60,85,0,1,1,0.976470588235294,66,94,2,4,60,81,60,85,0,1,1,0.952941176470588,60,83,104.533447987445,0.391784549300544,ja,submarine,boat,潜水艦,ボート,潜水艦ボート,読む
ポーカー,720.163393936487,800.641149257323,-0.139539784893373,0.0317973483343085,25.0245944082022,42.1607295165236,0.103674012835819,0.149308794142862,82,74,4,5,66,67,66,68,0,2,1,0.985294117647059,82,74,4,5,65,62,66,68,0,2,0.984848484848485,0.911764705882353,66,67,80.4777553208357,0.171337133227682,ja,gambling,poker,ギャンブル,ポーカー,ギャンブルポーカー,群衆
マイク,634.448680550012,647.549696434916,-0.534126329560713,-0.43994566615872,27.34540880144,32.4944711503551,0.0675346015141693,0.100403012168438,78,59,1,3,72,56,72,56,1,1,1,1,78,57,1,5,70,50,72,54,1,3,0.972222222222222,0.925925925925926,72,56,13.1010158849035,0.0941806634019931,ja,camera,microphone,カメラ,マイク,カメラマイク,過小評価する
マイナス,591.412216678969,653.755107143167,-0.688215840154505,-0.34197614860721,18.4104300118461,20.8746013464982,0.0407032286285436,0.0800437994037318,74,62,9,7,60,56,61,56,0,1,0.983606557377049,1,74,62,9,7,61,55,61,56,0,1,1,0.982142857142857,60,56,62.342890464198,0.346239691547295,ja,plus,minus,プラス,マイナス,プラスマイナス,惑星
マッサージ,602.173708318163,637.597032236486,-0.512146842910333,-0.402956847109585,13.8884140309555,25.0532087472763,0.0498780428356012,0.0841077741189248,87,73,2,3,72,62,72,65,0,3,1,0.953846153846154,86,72,3,4,66,58,71,64,1,4,0.929577464788732,0.90625,72,62,35.4233239183234,0.109189995800748,ja,yoga,massage,ヨガ,マッサージ,ヨガマッサージ,儀式
マヨネーズ,607.496229496182,675.302836061941,-0.658588305281741,-0.384722874775664,24.0585290520612,34.1595628370555,0.0653348426467233,0.0939808559422406,67,67,1,2,61,61,61,61,0,0,1,1,67,67,1,2,58,60,61,61,0,0,0.950819672131147,0.983606557377049,61,61,67.8066065657595,0.273865430506077,ja,ketchup,mayonnaise,ケチャップ,マヨネーズ,ケチャップマヨネーズ,続行する
マーケティング,752.663836086912,845.088022721947,-0.0426493732008457,0.217370597489536,27.2343987823774,31.8877851308869,0.0930271173660317,0.0858906561590705,67,102,1,1,62,88,62,90,0,0,1,0.977777777777778,67,102,1,1,61,90,62,90,0,0,0.983870967741935,1,61,88,92.4241866350351,0.260019970690382,ja,advertising,marketing,広告,マーケティング,広告マーケティング,観察
ミサイル,602.75971877076,600.124473663128,-0.58976093930002,-0.470871098238276,17.5068902640834,13.3500144946892,0.078843222563324,0.0626448732953991,71,71,3,2,64,57,64,60,1,0,1,0.95,72,71,2,2,65,59,65,60,0,0,1,0.983333333333333,64,57,-2.63524510763216,0.118889841061745,ja,rocket,missile,ロケット,ミサイル,ロケットミサイル,計画
ミッション,698.744765633533,760.430805967072,-0.355654786787959,0.140992580124133,33.3669692227852,29.7832163452397,0.0859731188354887,0.0926443065179749,71,83,3,4,64,67,65,70,1,1,0.984615384615385,0.957142857142857,70,82,4,5,55,58,65,70,1,1,0.846153846153846,0.828571428571429,64,67,61.686040333539,0.496647366912092,ja,task,mission,タスク,ミッション,タスクミッション,腫瘍
ミーティング,688.185649172183,648.895400010332,-0.318553909778301,-0.388509656214068,25.2929574110844,28.6195103231305,0.0912372110091348,0.0811716671059036,72,62,3,3,61,56,62,57,0,0,0.983870967741935,0.982456140350877,72,60,3,5,61,55,62,55,0,2,0.983870967741935,1,61,55,-39.2902491618511,-0.0699557464357674,ja,conference,meeting,会議,ミーティング,会議ミーティング,買う
メイド,719.245491230466,660.976816902027,-0.153169898291318,-0.320594332747929,38.1476901945945,15.5191412516716,0.167550276799083,0.0408363834608273,70,79,4,5,57,71,59,75,1,4,0.966101694915254,0.946666666666667,70,79,4,5,56,74,59,75,1,4,0.949152542372881,0.986666666666667,57,71,-58.2686743284389,-0.16742443445661,ja,nanny,maid,乳母,メイド,乳母メイド,橋
メダル,610.703858410852,618.994473669321,-0.536431795961014,-0.437999638851008,17.1656951574698,18.1894381472278,0.065177147049021,0.0684881091199235,127,72,5,3,114,57,114,60,0,0,1,0.95,127,71,5,4,107,55,114,60,0,0,0.93859649122807,0.916666666666667,113,57,8.29061525846839,0.0984321571100054,ja,trophy,medal,トロフィー,メダル,トロフィーメダル,軍曹
メッセージ,718.751769579342,620.069158723385,-0.200887677823136,-0.546622645538936,24.9971912636617,19.5420449597974,0.0859745456741524,0.0518857207583657,100,71,4,0,87,63,87,63,2,0,1,1,100,71,4,0,86,63,87,63,2,0,0.988505747126437,1,86,63,-98.6826108559571,-0.345734967715801,ja,warning,message,警告,メッセージ,警告メッセージ,ディスク
メンテナンス,636.575786885978,720.849805550429,-0.42271749241289,-0.116474859763687,16.8770973767842,29.3367580032536,0.0505887545434715,0.091050934096644,66,79,1,3,61,73,61,74,0,2,1,0.986486486486487,66,79,1,3,61,71,61,74,0,2,1,0.959459459459459,61,72,84.2740186644508,0.306242632649203,ja,service,maintenance,サービス,メンテナンス,サービスメンテナンス,インフルエンザ
メートル,580.78840677885,753.803056603201,-0.711801389526028,0.0432214607589451,34.8854470613084,36.5518011888225,0.111211434565482,0.167025940997354,68,62,3,2,59,53,60,53,1,2,0.983333333333333,1,68,62,3,2,55,51,60,53,1,2,0.916666666666667,0.962264150943396,59,53,173.014649824351,0.755022850284974,ja,kilometer,meter,キロメートル,メートル,キロメートルメートル,敗者
モニター,624.665565787648,609.024606572031,-0.40379459396302,-0.620093069381312,15.8757113283031,22.231272999747,0.0519577172072232,0.064580680731934,90,68,4,9,77,61,77,61,0,2,1,1,89,68,5,9,76,61,76,61,1,2,1,1,76,61,-15.6409592156167,-0.216298475418292,ja,screen,monitor,画面,モニター,画面モニター,成功
モルヒネ,720.23334847941,833.807951183566,-0.150477593864068,0.145473285834675,17.3626475987403,27.554856076622,0.0685109222165258,0.0806232790670161,82,84,4,5,67,69,71,74,1,1,0.943661971830986,0.932432432432432,83,82,3,7,58,58,71,72,1,3,0.816901408450704,0.805555555555556,66,69,113.574602704156,0.295950879698743,ja,aspirin,morphine,アスピリン,モルヒネ,アスピリンモルヒネ,無政府状態
モーテル,745.676464278017,733.40098333662,0.056365316997326,-0.119070731780074,26.6762776013797,29.2061051763204,0.112288495125861,0.0981318092518817,68,74,2,4,56,61,61,66,0,0,0.918032786885246,0.924242424242424,68,74,2,4,61,64,61,66,0,0,1,0.96969696969697,56,60,-12.2754809413968,-0.1754360487774,ja,hotel,motel,ホテル,モーテル,ホテルモーテル,トイレ
ユニフォーム,650.422214299386,643.529424787948,-0.461307336110401,-0.456020190980367,20.0718695352797,13.7874890589752,0.0467156330908707,0.0388543385970174,88,125,3,6,70,114,70,114,1,2,1,1,88,125,3,6,70,114,70,114,1,2,1,1,70,113,-6.89278951143842,0.00528714513003331,ja,badge,uniform,バッジ,ユニフォーム,バッジユニフォーム,ときどき
ユニークな,647.387801973959,696.784962493957,-0.455216745767117,-0.193525987797893,15.8580723815134,33.4588615514729,0.0404540059302921,0.0961421150549061,120,95,6,3,102,80,103,80,2,0,0.990291262135922,1,120,95,6,3,101,79,103,80,2,0,0.980582524271845,0.9875,101,80,49.3971605199973,0.261690757969223,ja,special,unique,特別な,ユニークな,特別なユニークな,ダブル
ライオン,620.783542867621,636.35353099194,-0.524221556596168,-0.563966466727822,21.6451386021031,26.9260131507622,0.0603435276024599,0.0694820032800744,82,79,2,4,70,67,70,67,0,0,1,1,82,79,2,4,70,65,70,67,0,0,1,0.970149253731343,70,67,15.5699881243191,-0.0397449101316542,ja,dragon,lion,ドラゴン,ライオン,ドラゴンライオン,シネマ
ランチ,568.680389818267,617.619681172047,-0.632744873866455,-0.584041813466068,19.3887624006044,20.7487081103014,0.0760408653394579,0.0630294022057336,65,79,6,4,59,70,59,72,1,1,1,0.972222222222222,65,79,6,4,57,70,59,72,1,1,0.966101694915254,0.972222222222222,59,69,48.9392913537794,0.0487030604003865,ja,snack,lunch,軽食,ランチ,軽食ランチ,知事
リクエスト,746.599415289165,755.501478866097,-0.16453082306349,-0.00476736395648252,26.97982271356,30.2303179995257,0.0827484299066055,0.0883185408384209,95,93,5,2,81,71,84,73,1,0,0.964285714285714,0.972602739726027,94,92,6,3,77,72,83,72,2,1,0.927710843373494,1,81,71,8.90206357693171,0.159763459107008,ja,demand,request,要求する,リクエスト,要求するリクエスト,会話
リッチ,667.465076915409,651.933318171866,-0.32564086712971,-0.324639714879087,22.7803531475025,43.4917355314647,0.0827461604223461,0.150601990711758,76,74,1,2,65,66,68,66,0,0,0.955882352941177,1,76,73,1,3,68,65,68,65,0,1,1,1,65,66,-15.531758743543,0.00100115225062286,ja,poor,rich,貧しい,リッチ,貧しいリッチ,殿下
リベラル,834.8676956449,794.11967741684,0.204527694662887,0.0141913247819899,39.1969741005319,35.0416033756915,0.117625524618889,0.0978439464330786,78,70,0,0,70,62,72,65,0,0,0.972222222222222,0.953846153846154,78,69,0,1,72,63,72,65,0,0,1,0.969230769230769,69,62,-40.7480182280603,-0.190336369880897,ja,conservative,liberal,保守的,リベラル,保守的リベラル,産業
リムジン,677.909354839758,757.552594223794,-0.17176235421905,0.100455595006743,20.8802188848439,22.9452223706659,0.0797292299847759,0.0716762832553618,81,86,1,2,62,69,64,73,1,0,0.96875,0.945205479452055,81,86,1,2,62,71,64,73,1,0,0.96875,0.972602739726027,62,69,79.6432393840362,0.272217949225793,ja,taxi,limousine,タクシー,リムジン,タクシーリムジン,オリジナル
リン,949.206480020229,857.164936510825,0.764757480608474,0.423419401341606,56.3258033285007,35.4991852316462,0.198388807724607,0.137937119107979,110,130,4,5,50,63,94,116,0,2,0.531914893617021,0.543103448275862,109,130,5,5,13,115,93,118,1,0,0.139784946236559,0.974576271186441,50,63,-92.0415435094045,-0.341338079266868,ja,ming,ling,ミン,リン,ミンリン,いつも
リーダー,607.723582273453,589.779446411675,-0.52046671530014,-0.54647584419072,21.1565193069934,18.6606192636045,0.0775856156129879,0.0716872421130403,87,64,2,5,80,56,80,57,0,1,1,0.982456140350877,86,64,3,5,77,55,79,57,1,1,0.974683544303797,0.964912280701754,79,56,-17.9441358617784,-0.0260091288905796,ja,member,leader,メンバー,リーダー,メンバーリーダー,後退する
レストラン,625.461000006083,677.287879306214,-0.425803456873064,-0.416257389321369,15.3746556507696,28.2786091570455,0.069655533739923,0.101881428810671,65,66,0,1,61,58,61,59,0,0,1,0.983050847457627,65,66,0,1,44,57,61,59,0,0,0.721311475409836,0.966101694915254,61,58,51.8268793001311,0.00954606755169524,ja,pub,restaurant,パブ,レストラン,パブレストラン,誓う
レース,678.639639993,632.056647886439,-0.339557924832278,-0.378457746564414,26.0968822851612,14.4009678873791,0.0790828856463121,0.0537306550047178,88,81,2,7,76,71,77,72,0,1,0.987012987012987,0.986111111111111,88,82,2,6,75,62,77,73,0,0,0.974025974025974,0.849315068493151,75,71,-46.5829921065607,-0.038899821732136,ja,marathon,race,マラソン,レース,マラソンレース,罰する
ロック,625.789830527106,632.884733340036,-0.517491802970838,-0.544057687640329,21.209804439944,17.2603991908851,0.0786026929587275,0.0570268129377408,64,73,1,2,59,60,59,61,0,0,1,0.983606557377049,65,70,0,5,59,55,59,60,0,1,1,0.916666666666667,59,60,7.09490281293017,-0.0265658846694917,ja,key,lock,鍵,ロック,鍵ロック,ショー
ロブスター,716.627924048937,767.722587306022,-0.0126617726280023,0.138105364715915,19.524407130751,21.4039253689387,0.0568838997397587,0.0806394611922381,101,74,5,2,80,63,82,67,0,2,0.975609756097561,0.940298507462687,102,74,4,2,81,65,82,67,0,2,0.98780487804878,0.970149253731343,79,63,51.0946632570846,0.150767137343917,ja,tuna,lobster,ツナ,ロブスター,ツナロブスター,意味
ロマンチック,669.517828118831,632.548872726204,-0.271507591306729,-0.369141521109862,20.0927278455287,17.2199928989888,0.0583487918138832,0.0721861934512783,70,62,1,2,64,55,65,55,0,0,0.984615384615385,1,70,62,1,2,58,55,65,55,0,0,0.892307692307692,1,64,55,-36.9689553926272,-0.0976339298031328,ja,dramatic,romantic,劇的,ロマンチック,劇的ロマンチック,床
ローカル,594.265870960228,651.488507242183,-0.605557677857169,-0.474150246731379,15.769399662287,26.0244239587041,0.0568840743951374,0.0828514155869995,68,83,2,4,63,70,64,73,0,2,0.984375,0.958904109589041,68,81,2,6,63,71,64,71,0,4,0.984375,1,62,69,57.2226362819544,0.13140743112579,ja,regional,local,地域の,ローカル,地域のローカル,こんにちは
